acc_status,acc_duration,credit_history,purpose,credit_amount,savings_acc,employment_time,installment_rate,gender,other_debtors,residence_time,property,age,installment_plans,housing,num_credits_at_bank,job,num_people_maintenance,phone,foreigner,target
dm_less_than_0,10,critical_amount,car_new,2241,dm_less_100,less_one,1,male,none,3,real_estate,48,none,rent,2,unskilled_resident,2,no,no,1
dm_less_than_0,24,credit_paid_so_far,car_new,3123,dm_less_100,less_one,4,female,none,1,life_insurance_or_savings_agreement,27,none,own,1,skilled_employee_or_official,1,no,yes,0
no_acc,24,critical_amount,education,1597,dm_less_100,greater_eq_seven,4,male,none,4,unknown_or_no_property,54,none,for_free,2,skilled_employee_or_official,2,no,yes,1
no_acc,48,critical_amount,business,7629,unknown_or_no_savings,greater_eq_seven,4,male,none,2,car_or_other,46,bank,own,2,self_or_highly_qualified_employee,2,no,yes,1
no_acc,12,credit_paid_so_far,car_old,1413,dm_greater_eq_1000,four_to_seven,3,male,none,2,life_insurance_or_savings_agreement,55,none,own,1,skilled_employee_or_official,1,no,no,1
no_acc,21,credit_paid_so_far,car_old,2476,unknown_or_no_savings,greater_eq_seven,4,male,none,4,real_estate,46,none,own,1,self_or_highly_qualified_employee,1,yes,yes,1
dm_less_than_0,27,credit_paid_so_far,radio_or_tv,3416,dm_less_100,one_to_four,3,male,none,2,car_or_other,27,none,own,1,self_or_highly_qualified_employee,1,no,yes,1
dm_0_to_200,24,delay_in_past_credit_payment,furniture_or_equipment,2333,unknown_or_no_savings,less_one,4,male,none,2,life_insurance_or_savings_agreement,29,bank,own,1,unskilled_resident,1,no,yes,1
dm_less_than_0,18,credit_paid_so_far,furniture_or_equipment,1131,dm_less_100,unemployed,4,female,none,2,car_or_other,33,none,own,1,skilled_employee_or_official,1,no,yes,0
no_acc,18,critical_amount,car_new,1530,dm_less_100,one_to_four,3,male,none,2,life_insurance_or_savings_agreement,32,bank,own,2,skilled_employee_or_official,1,no,yes,0
dm_less_than_0,14,credit_paid_so_far,car_new,3973,dm_less_100,unemployed,1,male,none,4,unknown_or_no_property,22,none,for_free,1,skilled_employee_or_official,1,no,yes,1
no_acc,15,credit_paid_so_far,radio_or_tv,1213,dm_500_to_1000,greater_eq_seven,4,male,none,3,life_insurance_or_savings_agreement,47,stores,own,1,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,30,no_credit_this_bank,furniture_or_equipment,3496,dm_greater_eq_1000,one_to_four,4,male,none,2,car_or_other,34,stores,own,1,skilled_employee_or_official,2,yes,yes,1
dm_less_than_0,36,credit_paid_so_far,car_old,8229,dm_less_100,one_to_four,2,male,none,2,life_insurance_or_savings_agreement,26,none,own,1,skilled_employee_or_official,2,no,yes,0
dm_less_than_0,16,critical_amount,car_new,2625,dm_less_100,greater_eq_seven,2,male,guarantor,4,life_insurance_or_savings_agreement,43,bank,rent,1,skilled_employee_or_official,1,yes,yes,0
no_acc,12,credit_paid_so_far,radio_or_tv,2171,dm_less_100,less_one,2,female,none,2,car_or_other,29,bank,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,8,credit_paid_so_far,radio_or_tv,760,dm_less_100,four_to_seven,4,female,guarantor,2,real_estate,44,none,own,1,unskilled_resident,1,no,yes,1
dm_0_to_200,12,credit_paid_so_far,car_new,888,dm_less_100,greater_eq_seven,4,male,none,4,car_or_other,41,bank,own,1,unskilled_resident,2,no,yes,0
dm_0_to_200,30,delay_in_past_credit_payment,radio_or_tv,1919,dm_100_to_500,less_one,4,male,none,3,unknown_or_no_property,30,stores,own,2,self_or_highly_qualified_employee,1,no,yes,0
dm_less_than_0,24,credit_paid_so_far,car_old,6579,dm_less_100,unemployed,4,male,none,2,unknown_or_no_property,29,none,for_free,1,self_or_highly_qualified_employee,1,yes,yes,1
dm_less_than_0,12,credit_paid_so_far,car_new,759,dm_less_100,four_to_seven,4,male,none,2,real_estate,26,none,own,1,skilled_employee_or_official,1,no,yes,0
dm_0_to_200,12,delay_in_past_credit_payment,radio_or_tv,585,dm_less_100,one_to_four,4,male,co-applicant,4,real_estate,20,none,rent,2,skilled_employee_or_official,1,no,yes,1
no_acc,24,credit_paid_so_far,radio_or_tv,3181,dm_less_100,less_one,4,female,none,4,life_insurance_or_savings_agreement,26,none,own,1,skilled_employee_or_official,1,yes,yes,1
no_acc,4,critical_amount,car_new,3380,dm_less_100,four_to_seven,1,female,none,1,real_estate,37,none,own,1,skilled_employee_or_official,2,no,yes,1
no_acc,10,critical_amount,car_new,1231,dm_less_100,greater_eq_seven,3,male,none,4,real_estate,32,none,own,2,unskilled_resident,2,no,no,1
no_acc,10,credit_paid_so_far,furniture_or_equipment,2210,dm_less_100,one_to_four,2,male,none,2,real_estate,25,bank,rent,1,unskilled_resident,1,no,yes,0
dm_0_to_200,12,credit_paid_so_far,retraining,754,unknown_or_no_savings,greater_eq_seven,4,male,none,4,life_insurance_or_savings_agreement,38,none,own,2,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,18,credit_paid_so_far,radio_or_tv,1301,dm_less_100,greater_eq_seven,4,male,guarantor,2,real_estate,32,none,own,1,unskilled_resident,1,no,yes,1
no_acc,9,critical_amount,car_new,2134,dm_less_100,one_to_four,4,male,none,4,car_or_other,48,none,own,3,skilled_employee_or_official,1,yes,yes,1
dm_less_than_0,18,credit_paid_so_far,furniture_or_equipment,3650,dm_less_100,less_one,1,female,none,4,car_or_other,22,none,rent,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,12,critical_amount,furniture_or_equipment,3617,dm_less_100,greater_eq_seven,1,male,none,4,car_or_other,28,none,rent,3,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,12,credit_paid_so_far,radio_or_tv,1103,dm_less_100,four_to_seven,4,male,guarantor,3,real_estate,29,none,own,2,skilled_employee_or_official,1,no,no,1
dm_0_to_200,20,no_credit_all,car_old,6148,dm_100_to_500,greater_eq_seven,3,male,none,4,car_or_other,31,bank,own,2,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,36,critical_amount,car_new,2820,dm_less_100,less_one,4,male,none,4,car_or_other,27,none,own,2,skilled_employee_or_official,1,no,yes,0
dm_less_than_0,24,credit_paid_so_far,radio_or_tv,1603,dm_less_100,greater_eq_seven,4,female,none,4,car_or_other,55,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,24,credit_paid_so_far,car_new,2303,dm_less_100,greater_eq_seven,4,male,co-applicant,1,real_estate,45,none,own,1,skilled_employee_or_official,1,no,yes,0
dm_greater_eq_200,9,no_credit_all,radio_or_tv,1337,dm_less_100,less_one,4,male,none,2,car_or_other,34,none,own,2,self_or_highly_qualified_employee,1,yes,yes,0
dm_0_to_200,6,credit_paid_so_far,radio_or_tv,590,dm_less_100,less_one,3,male,none,3,real_estate,26,none,own,1,unskilled_resident,1,no,no,1
dm_less_than_0,24,credit_paid_so_far,furniture_or_equipment,3234,dm_less_100,less_one,4,female,none,4,real_estate,23,none,rent,1,unskilled_resident,1,yes,yes,0
no_acc,18,credit_paid_so_far,radio_or_tv,4594,dm_less_100,less_one,3,male,none,2,car_or_other,32,none,own,1,skilled_employee_or_official,1,yes,yes,1
dm_less_than_0,36,credit_paid_so_far,furniture_or_equipment,2712,dm_less_100,greater_eq_seven,2,male,none,2,life_insurance_or_savings_agreement,41,bank,own,1,skilled_employee_or_official,2,no,yes,0
dm_less_than_0,12,credit_paid_so_far,radio_or_tv,674,dm_100_to_500,four_to_seven,4,male,none,1,life_insurance_or_savings_agreement,20,none,own,1,skilled_employee_or_official,1,no,yes,0
dm_greater_eq_200,12,credit_paid_so_far,furniture_or_equipment,2251,dm_less_100,one_to_four,1,female,none,2,car_or_other,46,none,own,1,unskilled_resident,1,no,yes,1
no_acc,7,critical_amount,radio_or_tv,730,unknown_or_no_savings,greater_eq_seven,4,male,none,2,life_insurance_or_savings_agreement,46,none,rent,2,unskilled_resident,1,yes,yes,1
dm_greater_eq_200,6,critical_amount,education,1047,dm_less_100,one_to_four,2,female,none,4,life_insurance_or_savings_agreement,50,none,own,1,unskilled_resident,1,no,yes,1
no_acc,21,credit_paid_so_far,car_new,2782,dm_500_to_1000,four_to_seven,1,female,none,2,car_or_other,31,bank,own,1,self_or_highly_qualified_employee,1,no,yes,1
dm_0_to_200,13,credit_paid_so_far,radio_or_tv,2101,dm_less_100,less_one,2,female,guarantor,4,life_insurance_or_savings_agreement,23,none,own,1,unskilled_resident,1,no,yes,1
dm_greater_eq_200,36,credit_paid_so_far,radio_or_tv,4473,dm_less_100,greater_eq_seven,4,male,none,2,car_or_other,31,none,own,1,skilled_employee_or_official,1,no,yes,1
no_acc,9,credit_paid_so_far,domestic_appliances,1236,dm_less_100,less_one,1,female,none,4,real_estate,23,none,rent,1,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,9,credit_paid_so_far,car_new,3195,unknown_or_no_savings,one_to_four,1,female,none,2,real_estate,33,none,own,1,unskilled_resident,1,no,yes,1
no_acc,30,credit_paid_so_far,radio_or_tv,1867,unknown_or_no_savings,greater_eq_seven,4,male,none,4,car_or_other,58,none,own,1,skilled_employee_or_official,1,yes,yes,1
dm_greater_eq_200,42,no_credit_all,business,6289,dm_less_100,less_one,2,male,none,1,life_insurance_or_savings_agreement,33,none,own,2,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,48,no_credit_this_bank,business,7685,dm_less_100,four_to_seven,2,female,guarantor,4,car_or_other,37,none,rent,1,skilled_employee_or_official,1,no,yes,0
no_acc,21,no_credit_all,car_new,5003,unknown_or_no_savings,one_to_four,1,female,none,4,life_insurance_or_savings_agreement,29,bank,own,2,skilled_employee_or_official,1,yes,yes,0
dm_0_to_200,36,delay_in_past_credit_payment,business,9857,dm_100_to_500,four_to_seven,1,male,none,3,life_insurance_or_savings_agreement,31,none,own,2,unskilled_resident,2,yes,yes,1
no_acc,6,credit_paid_so_far,radio_or_tv,518,dm_less_100,one_to_four,3,female,none,1,real_estate,29,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,15,no_credit_all,car_new,1778,dm_less_100,less_one,2,female,none,1,real_estate,26,none,rent,2,unemployed_or_unskilled_non_resident,1,no,yes,0
no_acc,10,credit_paid_so_far,car_new,1309,unknown_or_no_savings,one_to_four,4,male,guarantor,4,life_insurance_or_savings_agreement,27,none,own,1,unskilled_resident,1,no,yes,0
dm_0_to_200,72,credit_paid_so_far,radio_or_tv,5595,dm_100_to_500,one_to_four,2,male,none,2,car_or_other,24,none,own,1,skilled_employee_or_official,1,no,yes,0
dm_0_to_200,24,credit_paid_so_far,radio_or_tv,5084,unknown_or_no_savings,greater_eq_seven,2,female,none,4,car_or_other,42,none,own,1,skilled_employee_or_official,1,yes,yes,1
no_acc,15,critical_amount,education,1532,dm_100_to_500,one_to_four,4,female,none,3,car_or_other,31,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,12,critical_amount,radio_or_tv,3573,dm_less_100,one_to_four,1,female,none,1,real_estate,23,none,own,1,unskilled_resident,1,no,yes,1
dm_less_than_0,36,credit_paid_so_far,car_new,1842,dm_less_100,less_one,4,female,none,4,car_or_other,34,none,own,1,skilled_employee_or_official,1,yes,yes,0
dm_less_than_0,24,credit_paid_so_far,furniture_or_equipment,3021,dm_less_100,one_to_four,2,male,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no,yes,1
dm_less_than_0,30,credit_paid_so_far,radio_or_tv,2522,dm_less_100,greater_eq_seven,1,male,guarantor,3,life_insurance_or_savings_agreement,39,none,own,1,skilled_employee_or_official,2,no,yes,1
dm_0_to_200,12,credit_paid_so_far,business,841,dm_100_to_500,four_to_seven,2,female,none,4,real_estate,23,none,rent,1,unskilled_resident,1,no,yes,1
dm_0_to_200,26,credit_paid_so_far,car_old,7966,dm_less_100,less_one,2,male,none,3,car_or_other,30,none,own,2,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,27,credit_paid_so_far,business,3915,dm_less_100,one_to_four,4,male,none,2,car_or_other,36,none,own,1,skilled_employee_or_official,2,yes,yes,0
no_acc,9,credit_paid_so_far,furniture_or_equipment,2301,dm_100_to_500,less_one,2,female,none,4,life_insurance_or_savings_agreement,22,none,rent,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,48,no_credit_all,business,3844,dm_100_to_500,four_to_seven,4,male,none,4,unknown_or_no_property,34,none,for_free,1,unskilled_resident,2,no,yes,0
no_acc,24,credit_paid_so_far,radio_or_tv,1413,dm_less_100,one_to_four,4,male,none,2,life_insurance_or_savings_agreement,28,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,12,credit_paid_so_far,radio_or_tv,1484,unknown_or_no_savings,one_to_four,2,male,none,1,real_estate,25,none,own,1,skilled_employee_or_official,1,yes,yes,0
no_acc,15,credit_paid_so_far,furniture_or_equipment,2708,dm_less_100,less_one,2,male,none,3,life_insurance_or_savings_agreement,27,bank,own,2,unskilled_resident,1,no,yes,1
dm_0_to_200,18,no_credit_all,car_new,2278,dm_100_to_500,less_one,3,female,none,3,car_or_other,28,none,own,2,skilled_employee_or_official,1,no,yes,0
dm_0_to_200,30,credit_paid_so_far,car_new,2150,dm_less_100,one_to_four,4,female,guarantor,2,unknown_or_no_property,24,bank,own,1,skilled_employee_or_official,1,no,yes,0
no_acc,36,credit_paid_so_far,business,5742,dm_100_to_500,four_to_seven,2,male,none,2,car_or_other,31,none,own,2,skilled_employee_or_official,1,yes,yes,1
no_acc,20,critical_amount,car_new,3485,unknown_or_no_savings,less_one,2,male,none,4,real_estate,44,none,own,2,skilled_employee_or_official,1,yes,yes,1
no_acc,12,critical_amount,education,2748,dm_less_100,greater_eq_seven,2,female,none,4,unknown_or_no_property,57,bank,for_free,3,unskilled_resident,1,no,yes,1
no_acc,36,credit_paid_so_far,car_old,8133,dm_less_100,one_to_four,1,female,none,2,life_insurance_or_savings_agreement,30,bank,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,48,no_credit_this_bank,car_new,12169,unknown_or_no_savings,unemployed,4,male,co-applicant,4,unknown_or_no_property,36,none,for_free,1,self_or_highly_qualified_employee,1,yes,yes,1
dm_0_to_200,15,no_credit_this_bank,car_new,6850,dm_100_to_500,unemployed,1,male,none,2,life_insurance_or_savings_agreement,34,none,own,1,self_or_highly_qualified_employee,2,yes,yes,0
no_acc,24,credit_paid_so_far,car_new,1525,dm_greater_eq_1000,four_to_seven,4,female,none,3,car_or_other,34,none,own,1,skilled_employee_or_official,2,yes,yes,1
no_acc,48,critical_amount,radio_or_tv,3578,unknown_or_no_savings,greater_eq_seven,4,male,none,1,real_estate,47,none,own,1,skilled_employee_or_official,1,yes,yes,1
dm_less_than_0,18,credit_paid_so_far,furniture_or_equipment,2659,dm_greater_eq_1000,one_to_four,4,male,none,2,car_or_other,28,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,9,critical_amount,radio_or_tv,1154,dm_less_100,greater_eq_seven,2,male,none,4,real_estate,37,none,own,3,unskilled_resident,1,no,yes,1
dm_0_to_200,6,delay_in_past_credit_payment,furniture_or_equipment,1050,dm_less_100,unemployed,4,male,none,1,life_insurance_or_savings_agreement,35,stores,own,2,self_or_highly_qualified_employee,1,yes,yes,1
dm_less_than_0,18,credit_paid_so_far,radio_or_tv,2389,dm_less_100,less_one,4,female,none,1,car_or_other,27,stores,own,1,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,24,credit_paid_so_far,car_new,1207,dm_less_100,less_one,4,female,none,4,life_insurance_or_savings_agreement,24,none,rent,1,skilled_employee_or_official,1,no,yes,0
dm_0_to_200,21,critical_amount,business,3652,dm_less_100,four_to_seven,2,male,none,3,life_insurance_or_savings_agreement,27,none,own,2,skilled_employee_or_official,1,no,yes,1
no_acc,24,critical_amount,radio_or_tv,2223,dm_100_to_500,greater_eq_seven,4,male,none,4,life_insurance_or_savings_agreement,52,bank,own,2,skilled_employee_or_official,1,no,yes,1
dm_greater_eq_200,24,credit_paid_so_far,radio_or_tv,1377,dm_100_to_500,greater_eq_seven,4,female,none,2,unknown_or_no_property,47,none,for_free,1,skilled_employee_or_official,1,yes,yes,1
no_acc,9,critical_amount,education,1244,unknown_or_no_savings,greater_eq_seven,4,female,none,4,life_insurance_or_savings_agreement,41,none,rent,2,unskilled_resident,1,no,yes,1
no_acc,12,credit_paid_so_far,car_new,640,dm_less_100,one_to_four,4,male,none,2,real_estate,49,none,own,1,unskilled_resident,1,no,yes,1
dm_less_than_0,18,credit_paid_so_far,car_new,976,dm_less_100,less_one,1,female,none,2,car_or_other,23,none,own,1,unskilled_resident,1,no,yes,0
no_acc,15,credit_paid_so_far,car_old,1300,unknown_or_no_savings,greater_eq_seven,4,male,none,4,unknown_or_no_property,45,bank,for_free,1,skilled_employee_or_official,2,no,yes,1
no_acc,6,credit_paid_so_far,furniture_or_equipment,4611,dm_less_100,less_one,1,female,none,4,life_insurance_or_savings_agreement,32,none,own,1,skilled_employee_or_official,1,no,yes,0
